"","startq","allP","test1","NA","allPln","test1ln"
"X2018_6_1_plate.160","  0.01",32.03,30.14,NA,3.46667296362107,3.40585319319835
"X2018_6_1_plate.161","  0.01",32.19,30.07,NA,3.47165584531072,3.40352799700044
"X2018_6_1_plate.162","  0.01",32.05,30.09,NA,3.46729718336668,3.40419289064195
"X2018_6_1_plate.120","  0.05",29.64,27.76,NA,3.38912480042789,3.3235961356386
"X2018_6_1_plate.121","  0.05",29.7,27.71,NA,3.39114704580865,3.32179335887489
"X2018_6_1_plate.122","  0.05",29.62,27.74,NA,3.38844980883965,3.32287541488669
"X2018_6_1_plate.78","  0.10",28.57,26.91,NA,3.35235721624268,3.29249796473881
"X2018_6_1_plate.79","  0.10",28.77,26.72,NA,3.35933317756346,3.28541234866844
"X2018_6_1_plate.80","  0.10",28.61,26.86,NA,3.35375630706202,3.29063819109509
"X2018_6_1_plate.36","  0.50",25.92,24.36,NA,3.25501487148407,3.1929424428417
"X2018_6_1_plate.37","  0.50",25.97,24.25,NA,3.25694202567466,3.18841661738349
"X2018_6_1_plate.38","  0.50",25.91,24.25,NA,3.25462899457402,3.18841661738349
"X2018_6_1_plate.180","  1.00",25.18,23.53,NA,3.2260500286162,3.15827620273927
"X2018_6_1_plate.181","  1.00",25.32,23.63,NA,3.23159459727598,3.16251709119882
"X2018_6_1_plate.182","  1.00",25.32,23.63,NA,3.23159459727598,3.16251709119882
"X2018_6_1_plate.140","  5.00",22.25,20.78,NA,3.10234200861225,3.03399098567108
"X2018_6_1_plate.141","  5.00",22.27,20.9,NA,3.10324048126928,3.03974915897077
"X2018_6_1_plate.142","  5.00",22.32,20.82,NA,3.10548313751311,3.03591406318682
"X2018_6_1_plate.99"," 10.00",21.01,19.67,NA,3.04499851485691,2.97909463240097
"X2018_6_1_plate.100"," 10.00",21.14,19.66,NA,3.05116698044209,2.97858611471902
"X2018_6_1_plate.101"," 10.00",21.19,19.73,NA,3.05352937228021,2.98214032003452
"X2018_6_1_plate.57"," 50.00",18.6,17.43,NA,2.92316158071916,2.85819285953193
"X2018_6_1_plate.58"," 50.00",18.53,17.56,NA,2.91939104029727,2.86562358820697
"X2018_6_1_plate.59"," 50.00",18.45,17.43,NA,2.91506437048654,2.85819285953193
"X2018_6_1_plate.15","100.00",17.43,16.52,NA,2.85819285953193,2.80457176809283
"X2018_6_1_plate.16","100.00",17.4,16.46,NA,2.85647020622048,2.80093319524892
"X2018_6_1_plate.17","100.00",17.52,16.35,NA,2.86334308550825,2.79422789734326
