"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"1","1013",32.02,38.59,3.46636070756857,3.65299317554953
"2","1014",31.4,40,3.44680789291421,3.68887945411394
"3","1015",31.88,38.62,3.46197885392201,3.65377027700037
"4","1016",31.54,39.08,3.45125658153489,3.66561082717458
"5","1025",32.45,38.9,3.4797004431501,3.6609942506244
"6","1027",32.09,38.51,3.46854445512177,3.65091794782682
"7","1037",32.07,38.92,3.46792101370506,3.6615082573178
"8","1038",31.95,38.8,3.46417218082354,3.65842024662923
"9","1039",32.25,38.97,3.47351804324178,3.66279211935062
"10","1040",32.35,38.79,3.47661402094691,3.65816248145188
"11","1049",31.56,39.21,3.45189049597767,3.66893181630424
"12","1051",31.56,38.62,3.45189049597767,3.65377027700037
"13","1052",31.45,38.88,3.44839898314645,3.66047997959224
"14","1062",31.54,38.46,3.45125658153489,3.64961874016063
"15","1063",31.98,38.68,3.46511070740581,3.65532267058509
"16","1064",32.44,38.92,3.47939222924721,3.6615082573178
"17","1073",32.4,40,3.47815842279828,3.68887945411394
"18","1074",32.23,39.46,3.47289769582735,3.67528750059447
"19","1076",32.05,38.51,3.46729718336668,3.65091794782682
"20","1085",31.02,37.92,3.43463215774839,3.63547867738682
"21","1086",32.76,39.87,3.48920825898487,3.68562416139326
"22","1087",30.77,38.63,3.42654018933395,3.65402917667819
"23","1088",30.75,37.93,3.42588999425253,3.63574235570081
"24","1199",31.57,38.66,3.4522073025699,3.65480547378018
"25","1200",31.92,38.46,3.46323277258161,3.64961874016063
"26","1222",35.02,40,3.55591932685771,3.68887945411394
"27","1223",33.2,40,3.50254987592244,3.68887945411394
"28","1245",31.11,38.15,3.43752931090955,3.64152575773047
"29","1246",31.2,38.34,3.44041809481544,3.6464937376175
"30","1247",31.7,38.66,3.45631668088323,3.65480547378018
"31","1248",31.54,38.55,3.45125658153489,3.65195610000934
"32","1258",31.76,38.76,3.45820763637894,3.65738878702257
"33","1259",31.68,38.55,3.45568556694622,3.65195610000934
"34","1260",31.19,38.61,3.44009753061971,3.65351131027615
"35","1275",30.58,37.96,3.42034620050092,3.63653297374173
"36","1281",31.29,38.88,3.44329855768079,3.66047997959224
"37","1282",31.61,39.1,3.45347352622753,3.66612246699132
"38","1284",31.91,38.75,3.46291944029015,3.65713075579936
"39","1293",31.27,38.65,3.44265917146975,3.65454677503343
"40","1295",32.05,38.43,3.46729718336668,3.64883840457675
"41","1296",31.34,38.65,3.44489523692787,3.65454677503343
"42","1305",31.24,38.46,3.44169932497149,3.64961874016063
"43","1306",31.88,38.82,3.46197885392201,3.65893557774086
"44","1307",31.86,38.51,3.4613513044819,3.65091794782682
"45","1317",31.87,38.74,3.46166512842925,3.65687265797885
"46","1318",30.31,40,3.41147769106971,3.68887945411394
"47","1320",40,38.43,3.68887945411394,3.64883840457675
"48","1329",27.84,37.71,3.32647383546622,3.62992531127027
"49","1341",27.4,40,3.31054301339402,3.68887945411394
"50","1342",40,39.08,3.68887945411394,3.66561082717458
"51","1353",37.38,40,3.62113580202742,3.68887945411394
"52","1355",36.97,40,3.61010677294854,3.68887945411394
"53","1377",29.83,34.72,3.39551459852666,3.54731588979215
"54","1378",40,31.59,3.68887945411394,3.45284061481399
"55","1379",27.91,34.1,3.32898504754823,3.52929738428947
"56","1380",30.94,38.35,3.43204984514492,3.64675452781327
"57","1389",28.91,40,3.36418755602825,3.68887945411394
"58","1390",40,40,3.68887945411394,3.68887945411394
"59","1392",23.64,40,3.1629401925379,3.68887945411394
"60","1423",36.59,40,3.59977497903112,3.68887945411394
"61","1426",37.31,15.77,3.61926138723307,2.75810940097495
"62","1437",34.15,40,3.5307625860168,3.68887945411394
"63","1438",24.42,33.86,3.19540246868256,3.52223437670499
"64","1440",32.99,40,3.49620448524049,3.68887945411394
"65","1449",20.41,26.28,3.01602497682175,3.26880819361641
"66","1450",25.57,34.56,3.2414197893031,3.54269694393586
"67","1451",32.92,40,3.49408037580887,3.68887945411394
"68","1452",33.41,40,3.50885525636867,3.68887945411394
"69","1461",19.74,32.86,2.98264703400534,3.49225611260912
"70","1463",22.41,40,3.10950728781284,3.68887945411394
"71","1467",36.62,40,3.60059453924636,3.68887945411394
"72","1487",34.88,40,3.55191359904078,3.68887945411394
"73","1488",35.32,40,3.56444937573576,3.68887945411394
"74","1497",27.66,40,3.31998732623661,3.68887945411394
