"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"1","101",33.32,39.32,3.50615781729864,3.67173329527897
"2","102",32.91,38.95,3.49377656295525,3.66227877231676
"3","103",35.07,39.21,3.55734606415209,3.66893181630424
"4","104",32.24,38.45,3.47320791763843,3.64935869595165
"5","113",34.9,39.74,3.55248682920838,3.68235823712367
"6","114",32.36,39.01,3.47692309219029,3.66381802351856
"7","115",36.5,40,3.59731226058845,3.68887945411394
"8","116",35.07,37.56,3.55734606415209,3.62593965434006
"9","137",33.38,38.65,3.50795691823369,3.65454677503343
"10","138",33.45,38.93,3.51005178657424,3.66176516162236
"11","139",33.11,38.73,3.49983535155915,3.65661449352666
"12","140",31.31,37.81,3.44393753533831,3.63257361790284
"13","149",32.9,38.74,3.49347265777133,3.65687265797885
"14","150",32.79,39.47,3.49012359085656,3.67554088967476
"15","151",35.18,37.31,3.56047773930941,3.61926138723307
"16","152",33.42,39.42,3.50915452316725,3.67427330172457
"17","161",33.1,38.89,3.49953328238302,3.66073714816766
"18","162",33.53,39.51,3.51244056047814,3.6765538044233
"19","163",33.12,39.02,3.50013732951706,3.66407433519497
"20","164",31.97,38.09,3.46479796307175,3.63995178049051
"21","17",32.22,39.07,3.47258737774883,3.66535490906698
"22","174",35.69,40,3.57487053750207,3.68887945411394
"23","175",34.71,39.83,3.5470278298737,3.68462039719355
"24","176",33.34,39.25,3.50675787732265,3.66995144422842
"25","18",34.04,38.75,3.52753630370517,3.65713075579936
"26","19",33.09,38.92,3.49923112193352,3.6615082573178
"27","197",32.5,38.86,3.48124008933569,3.65996544394929
"28","198",32.51,38.31,3.48154773431581,3.64571095871256
"29","199",32.47,38.19,3.48031658611475,3.64257370123742
"30","20",32.19,38.79,3.47165584531072,3.65816248145188
"31","200",32.39,38.75,3.47784973318324,3.65713075579936
"32","209",34.28,39.58,3.53456209372958,3.67832394017442
"33","210",32.37,38.93,3.47723206793815,3.66176516162236
"34","211",31.85,39.02,3.46103738201817,3.66407433519497
"35","212",31.86,38.5,3.4613513044819,3.65065824129374
"36","233",31.93,38.48,3.46354600672669,3.65013862579751
"37","234",32.23,38.59,3.47289769582735,3.65299317554953
"38","235",32.28,38.84,3.47444784340175,3.65945064342312
"39","236",32.01,38.2,3.46604835398177,3.64283551561253
"40","245",32.35,38.21,3.47661402094691,3.64309726145881
"41","246",32.81,39.66,3.49073334697301,3.68034312309165
"42","247",32.21,39.09,3.47227696334311,3.66586667980486
"43","248",31.46,39.5,3.44871689763013,3.67630067190708
"44","257",31.95,40,3.46417218082354,3.68887945411394
"45","258",32.16,40,3.47072344431077,3.68887945411394
"46","259",32.02,38.8,3.46636070756857,3.65842024662923
"47","260",32.07,39.09,3.46792101370506,3.66586667980486
"48","269",32.21,39.27,3.47227696334311,3.67046086858992
"49","270",31.61,38.76,3.45347352622753,3.65738878702257
"50","271",31.91,39.39,3.46291944029015,3.67351197698281
"51","272",32.11,38.81,3.46916750810142,3.65867794538081
"52","29",32.89,38.56,3.49316866020097,3.65221546974235
"53","30",32.16,38.67,3.47072344431077,3.65506410561921
"54","306",32.15,39.27,3.47041245068363,3.67046086858992
"55","307",31.02,38.41,3.43463215774839,3.64831784235781
"56","308",31.49,39.08,3.44967003511293,3.66561082717458
"57","31",35.67,40,3.5743099993708,3.68887945411394
"58","317",31.6,39.07,3.45315712059287,3.66535490906698
"59","318",31.75,39.04,3.4578927253387,3.66458676154489
"60","319",32.66,39.47,3.48615108754232,3.67554088967476
"61","32",33.96,39.41,3.52518336144315,3.67401959120691
"62","320",31.9,38.94,3.4626060097908,3.66202199994405
"63","329",31.58,39.03,3.4525240088275,3.66433058119252
"64","330",32.14,39.11,3.47010136030937,3.66637818876742
"65","331",31.93,38.73,3.46354600672669,3.65661449352666
"66","341",31.46,38.94,3.44871689763013,3.66202199994405
"67","342",31.37,38.91,3.44585202220259,3.66125128699646
"68","343",31.16,38.84,3.43913522100255,3.65945064342312
"69","344",31.48,39.05,3.4493524235492,3.66484287628569
"70","353",32.94,40,3.49468772474949,3.68887945411394
"71","354",31.93,39.07,3.46354600672669,3.66535490906698
"72","355",32.68,39.2,3.4867632699918,3.66867674679642
"73","356",31.56,39.07,3.45189049597767,3.66535490906698
"74","365",31.8,38.71,3.45946628978613,3.65609796458956
"75","366",31.61,38.6,3.45347352622753,3.65325227647079
"76","367",31.56,39,3.45189049597767,3.66356164612965
"77","368",32.01,39.45,3.46604835398177,3.67503404729188
"78","377",31.89,38.84,3.46229248102197,3.65945064342312
"79","378",31.72,39.24,3.45694739676665,3.66969663469716
"80","380",31.34,38.97,3.44489523692787,3.66279211935062
"81","389",31.98,38.87,3.46511070740581,3.66022274486413
"82","390",31.78,38.96,3.45883716110857,3.66253547877433
"83","391",31.28,38.66,3.44297891567711,3.65480547378018
"84","392",31.63,38.85,3.45410603731756,3.65970807681366
"85","401",31.62,38.92,3.45378983178133,3.6615082573178
"86","402",31.56,38.69,3.45189049597767,3.65558116871242
"87","403",31.35,38.15,3.44521426707893,3.64152575773047
"88","404",32,38.99,3.46573590279973,3.66330520299451
"89","41",32.36,39.17,3.47692309219029,3.66791114767774
"90","413",31.33,38.78,3.4445761049641,3.65790464981451
"91","414",30.8,38.56,3.42751468997953,3.65221546974235
"92","415",30.68,38.51,3.42361097649906,3.65091794782682
"93","416",31.55,38.74,3.45157358898722,3.65687265797885
"94","42",36.9,40,3.60821155104648,3.68887945411394
"95","43",32.33,38.5,3.47599559173734,3.65065824129374
"96","438",32.13,38.9,3.46979017312777,3.6609942506244
"97","44",32.06,38.16,3.46760914718141,3.64178784658009
"98","440",32,39.04,3.46573590279973,3.66458676154489
"99","449",31.46,38.91,3.44871689763013,3.66125128699646
"100","450",31.34,38.08,3.44489523692787,3.63968920992316
"101","451",31.79,38.15,3.45915177492271,3.64152575773047
"102","452",32.74,38.85,3.48859757194299,3.65970807681366
"103","461",30.56,37.84,3.41969196429832,3.63336674418368
"104","462",31.3,38.24,3.44361809754611,3.6438820881832
"105","463",32.05,38.7,3.46729718336668,3.65583960003574
"106","464",31.98,38.83,3.46511070740581,3.65919314374358
"107","473",32.44,38.23,3.47939222924721,3.64362054770832
"108","474",31.54,38.71,3.45125658153489,3.65609796458956
"109","475",30.88,38.07,3.43010872515658,3.63942657039441
"110","476",31.52,38.58,3.45062226498968,3.65273400747758
"111","485",32.14,39.14,3.47010136030937,3.66714496196793
"112","486",31.64,38.2,3.45442214289945,3.64283551561253
"113","487",31.33,38.35,3.4445761049641,3.64675452781327
"114","488",32.62,39.24,3.48492559719287,3.66969663469716
"115","497",31.89,38.52,3.46229248102197,3.65117758692992
"116","53",32.9,39.24,3.49347265777133,3.66969663469716
"117","54",32.97,38.95,3.49559805708364,3.66227877231676
"118","55",32.78,39.14,3.48981857331568,3.66714496196793
"119","56",32.68,39.15,3.4867632699918,3.66740042243681
"120","6",31.49,38.53,3.44967003511293,3.65143715863807
"121","7",31.64,38.41,3.45442214289945,3.64831784235781
"122","716",33.4,40,3.50855589998265,3.68887945411394
"123","725",32.54,38.39,3.48247010179089,3.64779700901271
"124","726",32.32,39.46,3.47568623365289,3.67528750059447
"125","727",32.4,40,3.47815842279828,3.68887945411394
"126","728",33.68,38.87,3.51690418937413,3.66022274486413
"127","737",32.42,39.15,3.47877551630753,3.66740042243681
"128","738",35.85,40,3.57934356704563,3.68887945411394
"129","739",32.25,38.32,3.47351804324178,3.64597195310266
"130","740",32.77,39.95,3.48951346271072,3.68762867221228
"131","749",32.3,38.51,3.47506723022861,3.65091794782682
"132","750",33.28,40,3.50495661595301,3.68887945411394
"133","751",32.17,38.74,3.47103434125094,3.65687265797885
"134","752",32.01,39.81,3.46604835398177,3.68411813701223
"135","761",32.64,39.35,3.48553853009591,3.67249597486341
"136","762",33.34,38.41,3.50675787732265,3.64831784235781
"137","763",32.92,39.37,3.49408037580887,3.67300410495565
"138","764",32.13,38.65,3.46979017312777,3.65454677503343
"139","773",32.33,39.37,3.47599559173734,3.67300410495565
"140","774",32.36,39.95,3.47692309219029,3.68762867221228
"141","775",33.62,40,3.51512112798047,3.68887945411394
"142","776",33.18,39.42,3.5019472847623,3.67427330172457
"143","78",33.26,38.4,3.50435547376478,3.64805745959368
"144","785",33.71,40,3.51779452924597,3.68887945411394
"145","786",32.42,38.99,3.47877551630753,3.66330520299451
"146","787",34.88,40,3.55191359904078,3.68887945411394
"147","788",31.7,38.24,3.45631668088323,3.6438820881832
"148","79",32.17,37.67,3.47103434125094,3.62886402170395
"149","797",32.85,39.18,3.49195174493062,3.66816641251639
"150","798",32.4,39.79,3.47815842279828,3.68361562443884
"151","799",32.47,38.77,3.48031658611475,3.65764675168284
"152","8",31.42,38.72,3.44744463282748,3.65635626240838
"153","80",32.7,38.25,3.48737507790321,3.64414356027254
